epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.65151,1.51684,2.6288,1.39106,0.00556,1,0.59398,0.23326,1.25026,2.80377,1.34302,0.00012,0.00012,0.00012
2,12.2481,0.92221,1.75681,1.03169,0.00556,1,0.90804,0.64575,0.69109,2.46125,1.02163,0.000257426,0.000257426,0.000257426
3,17.8412,0.72508,1.28617,0.9565,0.98775,0.88,0.96278,0.81556,0.59544,1.82444,0.98811,0.00039208,0.00039208,0.00039208
4,23.6982,0.75275,1.12825,0.93775,0.99487,0.92,0.94816,0.81012,0.62509,1.58527,1.04103,0.000523962,0.000523962,0.000523962
5,29.232,0.71791,0.99585,0.95812,0.99531,0.92,0.95539,0.807,0.60205,1.20651,0.98648,0.000653072,0.000653072,0.000653072
6,34.8877,0.67837,0.93013,0.94448,1,0.95656,0.95606,0.83715,0.55591,1.0072,0.9774,0.00077941,0.00077941,0.00077941
7,40.3984,0.66928,0.86961,0.91556,0.99725,0.96,0.9558,0.82472,0.53375,0.98748,0.95423,0.000902976,0.000902976,0.000902976
8,45.9743,0.7047,0.90995,0.96377,0.88706,0.94286,0.93593,0.82119,0.60905,1.07392,0.98443,0.00102377,0.00102377,0.00102377
9,51.434,0.67008,1.02795,0.95923,0.99743,0.92,0.95531,0.85826,0.54945,1.05583,0.99175,0.00114179,0.00114179,0.00114179
10,56.9069,0.69943,0.93102,0.97857,1,0.95966,0.96799,0.88293,0.50661,1.12767,0.97532,0.00125704,0.00125704,0.00125704
11,62.4164,0.65504,0.8595,0.92712,0.95951,0.94832,0.97877,0.81456,0.65341,1.14457,1.05584,0.00136952,0.00136952,0.00136952
12,67.917,0.68141,0.89223,0.9455,0.85135,0.96,0.94085,0.80851,0.62021,1.41686,1.09899,0.00147923,0.00147923,0.00147923
13,73.4037,0.58887,0.83543,0.90746,0.95981,0.9554,0.95376,0.84406,0.59321,0.94825,1.0075,0.00158616,0.00158616,0.00158616
14,78.8298,0.62582,0.81681,0.91803,0.95981,0.9554,0.95376,0.84406,0.59321,0.94825,1.0075,0.00169032,0.00169032,0.00169032
15,84.3253,0.6128,0.82805,0.92218,0.99502,0.96,0.95549,0.81303,0.61055,0.85834,0.98166,0.0017228,0.0017228,0.0017228
16,89.8337,0.64523,0.83658,0.90069,0.9946,0.96,0.95804,0.84788,0.60074,0.78475,0.99459,0.001703,0.001703,0.001703
17,95.341,0.62972,0.76177,0.90995,0.99685,0.96,0.97224,0.84356,0.58296,0.77026,1.0278,0.0016832,0.0016832,0.0016832
18,100.861,0.63036,0.76033,0.91698,1,0.9972,0.995,0.84427,0.57229,0.77086,0.99435,0.0016634,0.0016634,0.0016634
19,106.338,0.60218,0.69789,0.90985,0.98187,0.96,0.95513,0.87142,0.5313,0.76719,1.01861,0.0016436,0.0016436,0.0016436
